url,page_title,domain,country,asnname,verdict,final_url,screenshot,task_link
http://www.brightmade.com/,BRIGHTMADE,www.brightmade.com,US,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",,http://www.brightmade.com/,,https://urlscan.io/result/019a0d0d-1a17-7018-98fb-6ae71ae3df28/
http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/moos.montauk.monster.cnn,edition.cnn.com,www.cnn.com,,,,http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/moos.montauk.monster.cnn,,https://urlscan.io/result/019a0d0d-732e-74ee-8404-2671492a8f1c/
http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/07/31/ng.racy.photos.cnn,edition.cnn.com,www.cnn.com,,,,http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/07/31/ng.racy.photos.cnn,,https://urlscan.io/result/019a0d0d-c688-71b9-9e13-d4d889db66dd/
http://www.cnn.com/video/partners/email/index.html?url=/video/podcasts/absurd/site/2008/08/01/nota.episode.54.cnn,CNN.com,www.cnn.com,US,"FASTLY, US",,http://www.cnn.com/video/partners/email/index.html?url=/video/podcasts/absurd/site/2008/08/01/nota.episode.54.cnn,,https://urlscan.io/result/019a0d0e-18db-73eb-abaa-014662219f38/
